taille bloc : 1, nb_cycles : 33554432
Duree par acces lecture  : 3.30 ns
Duree par acces ecriture : 3.63 ns
taille bloc : 2, nb_cycles : 16777216
Duree par acces lecture  : 3.26 ns
Duree par acces ecriture : 3.81 ns
taille bloc : 4, nb_cycles : 8388608
Duree par acces lecture  : 2.43 ns
Duree par acces ecriture : 2.92 ns
taille bloc : 8, nb_cycles : 4194304
Duree par acces lecture  : 2.64 ns
Duree par acces ecriture : 3.10 ns
taille bloc : 16, nb_cycles : 2097152
Duree par acces lecture  : 2.76 ns
Duree par acces ecriture : 2.89 ns
taille bloc : 32, nb_cycles : 1048576
Duree par acces lecture  : 3.34 ns
Duree par acces ecriture : 3.20 ns
taille bloc : 64, nb_cycles : 524288
Duree par acces lecture  : 3.5 ns
Duree par acces ecriture : 3.4 ns
taille bloc : 128, nb_cycles : 262144
Duree par acces lecture  : 2.98 ns
Duree par acces ecriture : 2.97 ns
taille bloc : 256, nb_cycles : 131072
Duree par acces lecture  : 2.93 ns
Duree par acces ecriture : 2.93 ns
taille bloc : 512, nb_cycles : 65536
Duree par acces lecture  : 2.92 ns
Duree par acces ecriture : 2.91 ns
taille bloc : 1024, nb_cycles : 32768
Duree par acces lecture  : 2.92 ns
Duree par acces ecriture : 2.91 ns
taille bloc : 2048, nb_cycles : 16384
Duree par acces lecture  : 2.93 ns
Duree par acces ecriture : 2.93 ns
taille bloc : 4096, nb_cycles : 8192
Duree par acces lecture  : 2.96 ns
Duree par acces ecriture : 2.93 ns
taille bloc : 8192, nb_cycles : 4096
Duree par acces lecture  : 2.98 ns
Duree par acces ecriture : 2.97 ns
taille bloc : 16384, nb_cycles : 2048
Duree par acces lecture  : 9.63 ns
Duree par acces ecriture : 9.79 ns
taille bloc : 32768, nb_cycles : 1024
Duree par acces lecture  : 13.6 ns
Duree par acces ecriture : 13.55 ns
taille bloc : 65536, nb_cycles : 512
Duree par acces lecture  : 18.67 ns
Duree par acces ecriture : 18.99 ns
taille bloc : 131072, nb_cycles : 256
Duree par acces lecture  : 24.22 ns
Duree par acces ecriture : 24.61 ns
taille bloc : 262144, nb_cycles : 128
Duree par acces lecture  : 42.65 ns
Duree par acces ecriture : 43.89 ns
taille bloc : 524288, nb_cycles : 64
Duree par acces lecture  : 94.35 ns
Duree par acces ecriture : 96.66 ns
taille bloc : 1048576, nb_cycles : 32
Duree par acces lecture  : 126.68 ns
Duree par acces ecriture : 127.99 ns
taille bloc : 2097152, nb_cycles : 16
Duree par acces lecture  : 146.33 ns
Duree par acces ecriture : 147.89 ns
taille bloc : 4194304, nb_cycles : 8
Duree par acces lecture  : 159.29 ns
Duree par acces ecriture : 161.1 ns
taille bloc : 8388608, nb_cycles : 4
Duree par acces lecture  : 169.50 ns
Duree par acces ecriture : 172.41 ns
taille bloc : 16777216, nb_cycles : 2
Duree par acces lecture  : 179.88 ns
Duree par acces ecriture : 182.82 ns
taille bloc : 33554432, nb_cycles : 1
Duree par acces lecture  : 194.81 ns
Duree par acces ecriture : 198.32 ns
